SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6834 Domingo Dr,Rancho Murieta,CA,95683,549999,3,2.5,Rancho Murieta,2198,15002,1990,1,,143,Active,,,http://www.redfin.com/CA/Rancho-Murieta/6834-Domingo-Dr-95683/home/19337893,MetroList,19014593,N,Y,38.5029084,-121.0854377
MLS Listing,,Single Family Residential,710 Alamo Dr,MORGAN HILL,CA,95037,989888,5,3.0,MORGAN HILL,2670,7532,1977,1,371,,Active,March-13-2019 09:15 AM,March-13-2019 11:15 AM,http://www.redfin.com/CA/Morgan-Hill/710-Alamo-Dr-95037/home/951798,MLSListings,ML81742148,N,Y,37.1015162,-121.6430382
MLS Listing,,Single Family Residential,15465 Ramona Ave,Fontana,CA,92336,485000,4,3.5,264 - Fontana,2621,5566,2008,1,185,,Active,,,http://www.redfin.com/CA/Fontana/15465-Ramona-Ave-92336/home/4315199,CRMLS,IV19053966,N,Y,34.1144655,-117.467591
MLS Listing,,Condo/Co-op,685 Dartmore Ln #164,Hayward,CA,94544,458888,2,2.0,Hayward Hills,906,,1988,1,506,325,Active,March-16-2019 02:00 PM,March-16-2019 05:00 PM,http://www.redfin.com/CA/Hayward/685-Dartmore-Ln-94544/unit-164/home/2113711,Bridge MLS,40856283,N,Y,37.6337685,-122.0458647
MLS Listing,,Single Family Residential,18470 Fleetwood Ave,Castro Valley,CA,94546,748888,3,1.0,Castro Valley,1042,5000,1950,1,719,,Active,March-13-2019 10:00 AM,March-13-2019 01:00 PM,http://www.redfin.com/CA/Castro-Valley/18470-Fleetwood-Ave-94546/home/828794,Bridge MLS,40856272,N,Y,37.711402,-122.0783517
MLS Listing,,Condo/Co-op,3227 Guillermo Pl,Hayward,CA,94542,648888,2,2.5,Hayward Hills,1518,,1983,1,427,337,Active,March-16-2019 02:00 PM,March-16-2019 05:00 PM,http://www.redfin.com/CA/Hayward/3227-Guillermo-Pl-94542/unit-18/home/891530,Bridge MLS,40856266,N,Y,37.655405,-122.038907
MLS Listing,,Single Family Residential,249 Catalina Way,Vallejo,CA,94589,479000,4,3.0,Vallejo 6,1542,5663,1983,1,311,,Active,March-17-2019 01:00 PM,March-17-2019 04:00 PM,http://www.redfin.com/CA/Vallejo/249-Catalina-Way-94589/home/2265791,BAREIS,21904728,N,Y,38.1538979,-122.2720127
MLS Listing,,Single Family Residential,2 Roslyn Ct,DALY CITY,CA,94015,898000,3,2.0,DALY CITY,1200,3510,1958,1,748,,Active,March-12-2019 10:00 AM,March-12-2019 01:00 PM,http://www.redfin.com/CA/Daly-City/2-Roslyn-Ct-94015/home/1797461,MLSListings,ML81742058,N,Y,37.6932909,-122.4957448
MLS Listing,,Single Family Residential,1365 Brooke,Gardnerville,NV,89410-4827,379900,3,2.0,G/M Downtown,1560,10454,2004,2,244,60,Active,,,http://www.redfin.com/NV/Gardnerville/1365-Brooke-Way-89410/home/69080518,NNRMLS,190002919,N,Y,38.9416017,-119.7369904
MLS Listing,,Single Family Residential,932 Corte La Cienega,Camarillo,CA,93010,1875000,5,4.5,Camarillo,4846,44431,1999,2,387,,Active,,,http://www.redfin.com/CA/Camarillo/932-Corte-La-Cienega-93010/home/4458367,SBMLS,19-753,N,Y,34.2269974,-119.0938535
MLS Listing,,Single Family Residential,1311 Tiger Tail Dr,Riverside,CA,92506,879900,6,5.0,252 - Riverside,3583,22651,1958,3,246,,Active,,,http://www.redfin.com/CA/Riverside/1311-Tiger-Tail-Dr-92506/home/5019299,CRMLS,IV19052130,N,Y,33.9172088,-117.3750055
MLS Listing,,Multi-Family (2-4 Unit),5472 6th Ave,Los Angeles,CA,90043,589000,4,2.0,Park Hills Heights,1956,5380,1919,3,301,,Active,,,http://www.redfin.com/CA/Los-Angeles/5472-6th-Ave-90043/home/6864997,TheMLS,19-442076,N,Y,33.991058,-118.323299
MLS Listing,,Condo/Co-op,2001 Club Center Dr #1134,Sacramento,CA,95835,267500,2,2.5,North Sacramento/Natomas/Del Paso Heights,1154,,2006,3,,245,Active,,,http://www.redfin.com/CA/Sacramento/2001-Club-Center-Dr-95835/unit-1-134/home/22787275,MetroList,19012192,N,Y,38.6710772,-121.5047481
MLS Listing,,Single Family Residential,30592 Mirandela Ln,Laguna Niguel,CA,92677,1649000,4,2.5,LNSMT - Summit,3390,5500,1987,3,486,91,Active,,,http://www.redfin.com/CA/Laguna-Niguel/30592-Mirandela-Ln-92677/home/4936606,CRMLS,OC19051321,N,Y,33.5185976,-117.7223781
MLS Listing,,Single Family Residential,29297 Links,Lake Elsinore,CA,92530,470000,4,3.5,699 - Not Defined,2854,8276,2015,3,165,117,Active,,,http://www.redfin.com/CA/Lake-Elsinore/29297-Links-92530/home/103692344,CRMLS,SW19047056,N,Y,33.648538,-117.303854
MLS Listing,,Condo/Co-op,45 Chadron Cir,Ladera Ranch,CA,92694,475000,2,2.0,LD - Ladera Ranch,1251,,2001,3,380,434,Active,March-12-2019 10:00 AM,March-12-2019 12:00 PM,http://www.redfin.com/CA/Mission-Viejo/45-Chadron-Cir-92694/home/5888886,CRMLS,OC19052508,N,Y,33.5607712,-117.6476212
MLS Listing,,Single Family Residential,42450 Butterscotch Ln,Lancaster,CA,93536,330000,3,2.5,LAC - Lancaster,1934,6112,1990,3,171,,Active,,,http://www.redfin.com/CA/Quartz-Hill/42450-Butterscotch-Ln-93536/home/6258388,CRMLS,BB19052667,N,Y,34.65438,-118.230744
MLS Listing,,Single Family Residential,30769 Sky Terrace Dr,Temecula,CA,92592,429000,3,2.0,699 - Not Defined,1444,10454,1986,3,297,66,Active,,,http://www.redfin.com/CA/Temecula/30769-Sky-Terrace-Dr-92592/home/6200324,CRMLS,SW19046780,N,Y,33.5021901,-117.1228227
MLS Listing,,Single Family Residential,975 Payette Dr,Corona,CA,92881,515000,3,2.0,248 - Corona,1850,6098,2001,3,278,58,Active,,,http://www.redfin.com/CA/Corona/975-Payette-Dr-92881/unit-42/home/6334921,CRMLS,IV19052278,N,Y,33.8307647,-117.5628379
MLS Listing,,Multi-Family (2-4 Unit),6635 Irvine Ave,North Hollywood,CA,91606,1050000,6,3.0,NHO - North Hollywood,2440,7802,1924,3,430,,Active,,,http://www.redfin.com/CA/North-Hollywood/6635-Irvine-Ave-91606/home/5047473,CRMLS,BB19041211,N,Y,34.1913544,-118.3857981
MLS Listing,,Single Family Residential,30 Flora St,San Francisco,CA,94124,849000,2,2.0,Bayview,1050,2988,1907,3,809,,Active,March-12-2019 02:00 PM,March-12-2019 03:30 PM,http://www.redfin.com/CA/San-Francisco/30-Flora-St-94124/home/1005375,San Francisco MLS,482094,N,Y,37.7321895,-122.3944585
MLS Listing,,Single Family Residential,2085 Garden Ln,Costa Mesa,CA,92627,969900,3,2.5,C5 - East Costa Mesa,1856,2396,2002,3,523,140,Active,,,http://www.redfin.com/CA/Costa-Mesa/2085-Garden-Ln-92627/home/5899431,CRMLS,OC19052529,N,Y,33.6425928,-117.9031933
MLS Listing,,Single Family Residential,22972 Cedarspring,Lake Forest,CA,92630,699990,3,2.0,LS - Lake Forest South,1436,6820,1980,3,487,57,Active,,,http://www.redfin.com/CA/Lake-Forest/22972-Cedarspring-92630/home/4813398,CRMLS,OC19050037,N,Y,33.6289711,-117.6838282
