PROPERTY TYPE,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
Single Family Residential,Seattle,WA,98199,1395000,4.0,3.5,3190.0,3500.0,2006.0,1,437.0,241.0,N,Y,47.6480964,-122.3856763
Condo/Co-op,Seattle,WA,98121,668000,1.0,0.75,790.0,7576.5,2009.0,3,846.0,622.0,N,Y,47.6181018,-122.33921609999999
Condo/Co-op,Seattle,WA,98121,918000,1.0,1.0,792.0,83673.0,2016.0,3,1159.0,649.0,N,Y,47.6170463,-122.34372820000002
Condo/Co-op,Bothell,WA,98011,297950,2.0,1.5,970.0,46440.0,1976.0,3,307.0,265.0,N,Y,47.765949,-122.207792
Single Family Residential,Bellevue,WA,98006,888000,3.0,1.75,2010.0,7890.0,1976.0,4,442.0,241.0,N,Y,47.558435700000004,-122.1377751
Townhouse,Newcastle,WA,98059,849000,4.0,2.5,1834.0,125538.0,2012.0,4,463.0,300.0,N,Y,47.5389104,-122.16137549999999
Condo/Co-op,Seattle,WA,98104,424950,2.0,1.0,838.0,19180.0,2000.0,4,507.0,356.0,N,Y,47.59941920000001,-122.31979740000001
Single Family Residential,Seattle,WA,98122,1250000,4.0,3.0,2450.0,3740.0,1902.0,5,510.0,241.0,N,Y,47.609573700000006,-122.3132062
Condo/Co-op,Seattle,WA,98122,689000,2.0,1.75,922.0,14524.0,2007.0,5,747.0,578.0,N,Y,47.6161741,-122.31727620000001
Condo/Co-op,Seattle,WA,98121,589000,1.0,1.0,931.0,7576.5,2002.0,5,633.0,628.0,N,Y,47.6146711,-122.3512545
Single Family Residential,Newcastle,WA,98056,680000,3.0,1.75,1560.0,11280.0,1961.0,5,436.0,241.0,N,Y,47.5248247,-122.1835415
Condo/Co-op,Seattle,WA,98102,2100000,2.0,2.25,1886.0,7576.5,2009.0,5,1113.0,1325.0,N,Y,47.63027329999999,-122.32204469999999
Single Family Residential,Seattle,WA,98122,690000,1.0,1.0,700.0,1279.0,2008.0,5,986.0,241.0,N,Y,47.6160278,-122.31412639999999
Single Family Residential,Kirkland,WA,98033,859950,4.0,2.5,2250.0,10000.0,1972.0,5,382.0,241.0,N,Y,47.7020555,-122.2045196
Townhouse,Seattle,WA,98103,615000,3.0,2.0,1350.0,1360.0,2003.0,5,456.0,241.0,N,Y,47.69289860000001,-122.342176
Townhouse,Seattle,WA,98144,849500,3.0,2.25,1780.0,1492.0,2015.0,5,477.0,241.0,N,Y,47.5939689,-122.295929
Townhouse,Issaquah,WA,98027,510000,2.0,2.25,1289.0,1092.0,2008.0,5,396.0,226.0,N,Y,47.532265,-122.072951
Single Family Residential,Seattle,WA,98119,889000,2.0,1.75,1465.0,3225.0,1977.0,5,607.0,241.0,N,Y,47.645348,-122.3632949
Single Family Residential,Seattle,WA,98117,875000,3.0,1.75,1620.0,3750.0,1908.0,6,540.0,241.0,N,Y,47.680274,-122.3749065
Condo/Co-op,Seattle,WA,98103,519000,2.0,1.5,929.0,7576.5,1969.0,7,559.0,291.0,N,Y,47.6579471,-122.34779679999998
Single Family Residential,Seattle,WA,98115,799950,4.0,2.0,2106.0,6308.0,1940.0,10,380.0,241.0,N,Y,47.6985645,-122.32545879999999
Single Family Residential,Lynnwood,WA,98036,530000,3.0,2.25,2300.0,9148.0,1960.0,10,230.0,241.0,N,Y,47.8067618,-122.30243429999999
Single Family Residential,Seattle,WA,98126,649000,3.0,1.75,1400.0,5080.0,1949.0,10,464.0,241.0,N,Y,47.550977,-122.38001609999999
Single Family Residential,Kirkland,WA,98033,1895000,4.0,3.0,2960.0,3373.0,2016.0,10,640.0,241.0,N,Y,47.6624282,-122.20444450000001
Townhouse,Seattle,WA,98144,585000,2.0,1.5,1280.0,1391.0,2007.0,11,457.0,241.0,N,Y,47.5872887,-122.30839740000002
Condo/Co-op,Seattle,WA,98121,388000,0.0,1.0,447.0,29700.0,2001.0,11,868.0,287.0,N,Y,47.616412,-122.35229879999999
Single Family Residential,Kirkland,WA,98034,1050000,4.0,2.5,3570.0,3740.0,2007.0,11,294.0,241.0,N,Y,47.7255027,-122.17071429999999
Condo/Co-op,Kirkland,WA,98033,1362000,2.0,1.75,2020.0,52226.0,1993.0,12,674.0,906.0,N,Y,47.673292,-122.20485490000002
